iter	Passed	Remaining
0	1	176
1	3	156
2	4	151
3	5	141
4	7	138
5	8	137
6	10	136
7	11	136
8	13	134
9	14	133
10	16	131
11	17	129
12	19	127
13	20	125
14	21	124
15	23	123
16	24	121
17	26	119
18	28	119
19	29	119
20	31	118
21	32	116
22	34	116
23	36	116
24	38	115
25	39	113
26	41	112
27	43	111
28	44	110
29	46	108
30	48	107
31	49	105
32	51	103
33	52	102
34	54	102
35	56	100
36	58	99
37	59	97
38	61	96
39	63	94
40	64	93
41	65	90
42	66	88
43	68	87
44	70	86
45	71	84
46	73	82
47	75	81
48	76	79
49	78	78
50	79	76
51	81	75
52	83	73
53	85	72
54	86	70
55	87	68
56	89	67
57	90	65
58	92	64
59	93	62
60	94	60
61	96	59
62	97	57
63	99	55
64	100	54
65	102	52
66	103	51
67	105	49
68	106	48
69	108	46
70	110	44
71	111	43
72	112	41
73	114	40
74	116	38
75	117	37
76	119	35
77	120	34
78	122	32
79	124	31
80	125	29
81	127	27
82	129	26
83	130	24
84	131	23
85	133	21
86	134	20
87	136	18
88	138	17
89	139	15
90	141	13
91	143	12
92	144	10
93	146	9
94	147	7
95	149	6
96	150	4
97	152	3
98	153	1
99	155	0
