iter	Passed	Remaining
0	2	2505
1	4	2026
2	5	1792
3	6	1687
4	8	1634
5	9	1562
6	10	1508
7	11	1474
8	13	1470
9	14	1448
10	16	1439
11	17	1452
12	19	1458
13	20	1453
14	22	1469
15	23	1469
16	25	1454
17	26	1442
18	28	1468
19	30	1477
20	31	1470
21	32	1465
22	34	1462
23	35	1455
24	37	1443
25	38	1432
26	39	1425
27	40	1414
28	42	1410
29	43	1410
30	45	1409
31	46	1402
32	47	1393
33	48	1389
34	50	1381
35	51	1375
36	52	1370
37	53	1363
38	55	1358
39	56	1351
40	58	1357
41	59	1354
42	60	1349
43	62	1347
44	63	1341
45	64	1336
46	65	1330
47	66	1326
48	68	1323
49	69	1319
50	70	1315
51	72	1314
52	73	1312
53	74	1309
54	75	1305
55	77	1302
56	78	1296
57	79	1292
58	80	1288
59	82	1284
60	83	1279
61	84	1278
62	85	1275
63	87	1279
64	88	1277
65	90	1275
66	91	1272
67	92	1269
68	94	1268
69	95	1264
70	96	1261
71	97	1257
72	98	1254
73	100	1252
74	101	1250
75	102	1250
76	104	1247
77	105	1243
78	106	1240
79	107	1237
80	108	1234
81	109	1231
82	110	1222
83	111	1220
84	113	1218
85	114	1216
86	115	1213
87	117	1216
88	118	1217
89	120	1215
90	121	1215
91	123	1215
92	124	1212
93	125	1210
94	126	1208
95	128	1207
96	129	1208
97	131	1207
98	132	1206
99	133	1204
100	135	1203
101	136	1200
102	137	1197
103	138	1195
104	140	1193
105	141	1191
106	142	1189
107	143	1186
108	144	1184
109	146	1185
110	147	1184
111	149	1182
112	150	1179
113	151	1178
114	152	1176
115	154	1174
116	155	1170
117	156	1168
118	157	1167
119	158	1165
120	160	1163
121	161	1161
122	162	1159
123	163	1157
124	165	1155
125	166	1153
126	167	1150
127	168	1147
128	169	1146
129	170	1144
130	172	1142
131	173	1140
132	174	1139
133	176	1138
134	177	1137
135	178	1135
136	180	1134
137	181	1132
138	182	1131
139	183	1129
140	185	1128
141	186	1124
142	187	1123
143	188	1121
144	189	1119
145	191	1120
146	192	1119
147	194	1117
148	195	1115
149	196	1114
150	197	1112
151	199	1112
152	200	1110
153	202	1110
154	203	1109
155	204	1107
156	206	1108
157	207	1106
158	208	1105
159	210	1103
160	210	1099
161	212	1097
162	213	1096
163	214	1094
164	215	1092
165	217	1090
166	218	1088
167	219	1087
168	221	1087
169	222	1086
170	223	1085
171	225	1085
172	227	1085
173	228	1084
174	229	1082
175	230	1080
176	231	1078
177	233	1076
178	234	1075
179	235	1074
180	237	1073
181	238	1071
182	239	1070
183	241	1068
184	242	1066
185	243	1065
186	244	1063
187	245	1061
188	247	1060
189	248	1058
190	249	1057
191	251	1056
192	252	1055
193	253	1053
194	254	1052
195	256	1051
196	257	1049
197	258	1047
198	259	1045
199	260	1043
200	262	1041
201	263	1039
202	264	1038
203	265	1036
204	267	1035
205	268	1033
206	269	1032
207	270	1030
208	271	1029
209	273	1028
210	274	1026
211	275	1024
212	276	1023
213	278	1021
214	279	1019
215	280	1019
216	282	1018
217	283	1017
218	284	1015
219	285	1013
220	287	1012
221	288	1010
222	289	1009
223	290	1007
224	291	1005
225	293	1004
226	294	1002
227	296	1002
228	297	1001
229	298	999
230	299	998
231	301	996
232	302	995
233	303	993
234	304	991
235	305	990
236	307	988
237	308	986
238	309	985
239	311	985
240	312	984
241	314	983
242	315	983
243	317	982
244	318	981
245	320	981
246	321	980
247	323	979
248	324	978
249	326	978
250	327	977
251	328	975
252	329	974
253	331	972
254	332	970
255	333	969
256	334	968
257	336	966
258	337	965
259	338	964
260	340	962
261	341	962
262	342	960
263	344	959
264	345	958
265	346	956
266	347	954
267	349	953
268	350	951
269	351	950
270	352	948
271	353	947
272	355	947
273	357	946
274	358	946
275	360	945
276	362	945
277	363	944
278	364	943
279	366	941
280	367	940
281	368	939
282	370	939
283	372	938
284	373	937
285	375	936
286	376	935
287	377	933
288	378	931
289	380	930
290	381	929
291	382	927
292	383	925
293	385	925
294	386	924
295	388	923
296	389	922
297	390	920
298	392	919
299	393	917
300	394	916
301	395	914
302	396	913
303	398	911
